;;Size;Success;Count;Time
;;4;True;8;0
;;5;True;5;0
;;6;True;31;0,001003265
;;7;True;9;0
;;8;True;113;0,002994776
;;9;True;41;0,000999212
;;10;True;102;0,003997087
;;11;True;52;0,001994133
;;12;True;261;0,010992765
;;13;True;111;0,004997253
;;14;True;1899;0,08494854
;;15;True;1359;0,065959215
;;16;True;10052;0,528673887
;;17;True;5374;0,312807083
;;18;True;41299;2,573975325
;;19;True;2545;0,173892736
;;20;True;199635;14,34221292
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
FIRST;FIRST;4;True;9;0,000999451
FIRST;FIRST;5;True;5;0
FIRST;FIRST;6;True;27;0,000999689
FIRST;FIRST;7;True;9;0
FIRST;FIRST;8;True;89;0,003997087
FIRST;FIRST;9;True;33;0,000999689
FIRST;FIRST;10;True;257;0,014990091
FIRST;FIRST;11;True;188;0,011992931
FIRST;FIRST;12;True;193;0,013991356
FIRST;FIRST;13;True;296;0,025981665
FIRST;FIRST;14;True;1427;0,13791728
FIRST;FIRST;15;True;845;0,090943813
FIRST;FIRST;16;True;6637;0,779519081
FIRST;FIRST;17;True;4772;0,662590504
FIRST;FIRST;18;True;37234;5,445714712
FIRST;FIRST;19;True;13883;2,191688299
FIRST;FIRST;20;True;155671;27,46930814
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
FIRST;LAST;4;True;9;0
FIRST;LAST;5;True;5;0
FIRST;LAST;6;True;27;0,000999451
FIRST;LAST;7;True;9;0,000999451
FIRST;LAST;8;True;89;0,003994703
FIRST;LAST;9;True;33;0,000999451
FIRST;LAST;10;True;257;0,017991543
FIRST;LAST;11;True;188;0,015990019
FIRST;LAST;12;True;193;0,017989397
FIRST;LAST;13;True;296;0,030978918
FIRST;LAST;14;True;1427;0,171895981
FIRST;LAST;15;True;845;0,112930059
FIRST;LAST;16;True;6637;0,977397203
FIRST;LAST;17;True;4772;0,793510914
FIRST;LAST;18;True;37234;6,699523449
FIRST;LAST;19;True;13883;2,769359827
FIRST;LAST;20;True;155671;33,54078436
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
FIRST;MEDIUM;4;True;4;0
FIRST;MEDIUM;5;True;5;0,000999212
FIRST;MEDIUM;6;True;22;0,000999451
FIRST;MEDIUM;7;True;12;0
FIRST;MEDIUM;8;True;38;0,001998663
FIRST;MEDIUM;9;True;14;0
FIRST;MEDIUM;10;True;177;0,014990568
FIRST;MEDIUM;11;True;115;0,010993242
FIRST;MEDIUM;12;True;31;0,002998352
FIRST;MEDIUM;13;True;43;0,003997326
FIRST;MEDIUM;14;True;53;0,006995916
FIRST;MEDIUM;15;True;22;0,001998663
FIRST;MEDIUM;16;True;26;0,003997326
FIRST;MEDIUM;17;True;45;0,006995916
FIRST;MEDIUM;18;True;116;0,020987034
FIRST;MEDIUM;19;True;184;0,038975954
FIRST;MEDIUM;20;True;69;0,014990568
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
FIRST;MOST CONSTRAINED;4;False;0;0,000999451
FIRST;MOST CONSTRAINED;5;True;5;0
FIRST;MOST CONSTRAINED;6;True;33;0,001998663
FIRST;MOST CONSTRAINED;7;True;9;0
FIRST;MOST CONSTRAINED;8;True;49;0,003997564
FIRST;MOST CONSTRAINED;9;True;94;0,008994341
FIRST;MOST CONSTRAINED;10;True;152;0,015990019
FIRST;MOST CONSTRAINED;11;True;191;0,025984049
FIRST;MOST CONSTRAINED;12;True;637;0,094941616
FIRST;MOST CONSTRAINED;13;True;276;0,046969652
FIRST;MOST CONSTRAINED;14;True;1158;0,225862503
FIRST;MOST CONSTRAINED;15;True;1238;0,270829678
FIRST;MOST CONSTRAINED;16;True;10707;2,690899611
FIRST;MOST CONSTRAINED;17;True;5057;1,400134802
FIRST;MOST CONSTRAINED;18;True;52825;16,97306824
FIRST;MOST CONSTRAINED;19;True;27226;9,447278023
FIRST;MOST CONSTRAINED;20;True;104120;39,30284834
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
LAST;FIRST;4;True;9;0,000999451
LAST;FIRST;5;True;5;0
LAST;FIRST;6;True;27;0,000999212
LAST;FIRST;7;True;9;0
LAST;FIRST;8;True;89;0,005996227
LAST;FIRST;9;True;33;0,001998663
LAST;FIRST;10;True;257;0,020985603
LAST;FIRST;11;True;188;0,017990589
LAST;FIRST;12;True;193;0,021986485
LAST;FIRST;13;True;296;0,037976503
LAST;FIRST;14;True;1427;0,203872681
LAST;FIRST;15;True;845;0,14990592
LAST;FIRST;16;True;6637;1,506071329
LAST;FIRST;17;True;4772;1,011952162
LAST;FIRST;18;True;37234;8,343518496
LAST;FIRST;19;True;13883;3,381913185
LAST;FIRST;20;True;155671;40,98119831
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
LAST;LAST;4;True;9;0
LAST;LAST;5;True;5;0
LAST;LAST;6;True;27;0,000999451
LAST;LAST;7;True;9;0,000999212
LAST;LAST;8;True;89;0,004997015
LAST;LAST;9;True;33;0,002998114
LAST;LAST;10;True;257;0,020987034
LAST;LAST;11;True;188;0,020987034
LAST;LAST;12;True;193;0,020986795
LAST;LAST;13;True;296;0,038975477
LAST;LAST;14;True;1427;0,208872318
LAST;LAST;15;True;845;0,137914896
LAST;LAST;16;True;6637;1,189266443
LAST;LAST;17;True;4772;0,973398447
LAST;LAST;18;True;37234;8,552928686
LAST;LAST;19;True;13883;3,562801838
LAST;LAST;20;True;155671;41,68370986
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
LAST;MEDIUM;4;True;4;0
LAST;MEDIUM;5;True;5;0,000999928
LAST;MEDIUM;6;True;22;0,000999212
LAST;MEDIUM;7;True;12;0
LAST;MEDIUM;8;True;38;0,002998352
LAST;MEDIUM;9;True;14;0,000999212
LAST;MEDIUM;10;True;177;0,016991138
LAST;MEDIUM;11;True;115;0,011992455
LAST;MEDIUM;12;True;31;0,002998114
LAST;MEDIUM;13;True;43;0,005996466
LAST;MEDIUM;14;True;53;0,007993698
LAST;MEDIUM;15;True;22;0,002998114
LAST;MEDIUM;16;True;26;0,00399828
LAST;MEDIUM;17;True;45;0,008993864
LAST;MEDIUM;18;True;116;0,025983334
LAST;MEDIUM;19;True;184;0,04597497
LAST;MEDIUM;20;True;69;0,017988682
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
LAST;MOST CONSTRAINED;4;False;0;0
LAST;MOST CONSTRAINED;5;True;5;0,000999451
LAST;MOST CONSTRAINED;6;True;33;0,001998901
LAST;MOST CONSTRAINED;7;True;9;0
LAST;MOST CONSTRAINED;8;True;49;0,003997803
LAST;MOST CONSTRAINED;9;True;94;0,009993553
LAST;MOST CONSTRAINED;10;True;152;0,018988371
LAST;MOST CONSTRAINED;11;True;191;0,027979374
LAST;MOST CONSTRAINED;12;True;637;0,112933874
LAST;MOST CONSTRAINED;13;True;276;0,054964304
LAST;MOST CONSTRAINED;14;True;1158;0,263838768
