Algorithm;;Size;Success;Count;Time;;;
BACKTRACKING;;4;True;8;0;;;
BACKTRACKING;;5;True;5;0;;;
BACKTRACKING;;6;True;31;0,001000404;;;
BACKTRACKING;;7;True;9;0;;;
BACKTRACKING;;8;True;113;0,002996922;;;
BACKTRACKING;;9;True;41;0,000999451;;;
BACKTRACKING;;10;True;102;0,003998756;;;
BACKTRACKING;;11;True;52;0,001997232;;;
BACKTRACKING;;12;True;261;0,010993481;;;
BACKTRACKING;;13;True;111;0,004996538;;;
BACKTRACKING;;14;True;1899;0,101938486;;;
BACKTRACKING;;15;True;1359;0,07894969;;;
BACKTRACKING;;16;True;10052;0,647602797;;;
BACKTRACKING;;17;True;5374;0,403755903;;;
BACKTRACKING;;18;True;41299;3,162044764;;;
BACKTRACKING;;19;True;2545;0,211869717;;;
BACKTRACKING;;20;True;199635;17,95592785;;262896;22,58907199
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
FIRST;FIRST;4;True;8;0,001000404;;;
FIRST;FIRST;5;True;5;0;;;
FIRST;FIRST;6;True;31;0,001997948;;;
FIRST;FIRST;7;True;9;0,000999928;;;
FIRST;FIRST;8;True;113;0,009991407;;;
FIRST;FIRST;9;True;41;0,003999233;;;
FIRST;FIRST;10;True;102;0,010993719;;;
FIRST;FIRST;11;True;52;0,00699544;;;
FIRST;FIRST;12;True;261;0,036975861;;;
FIRST;FIRST;13;True;111;0,017989159;;;
FIRST;FIRST;14;True;1899;0,343787193;;;
FIRST;FIRST;15;True;1359;0,263837099;;;
FIRST;FIRST;16;True;10052;2,168665171;;;
FIRST;FIRST;17;True;5374;1,263220787;;;
FIRST;FIRST;18;True;41299;10,62544703;;;
FIRST;FIRST;19;True;2545;0,70456481;;;
FIRST;FIRST;20;True;199635;59,89106989;;262896;75,35153508
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
FIRST;MEDIUM;4;True;4;0;;;
FIRST;MEDIUM;5;True;5;0,000999689;;;
FIRST;MEDIUM;6;True;25;0,000999451;;;
FIRST;MEDIUM;7;True;15;0,001998663;;;
FIRST;MEDIUM;8;True;14;0,000999212;;;
FIRST;MEDIUM;9;True;14;0,000999451;;;
FIRST;MEDIUM;10;True;24;0,002998114;;;
FIRST;MEDIUM;11;True;16;0,001998663;;;
FIRST;MEDIUM;12;True;17;0,002998114;;;
FIRST;MEDIUM;13;True;54;0,008994341;;;
FIRST;MEDIUM;14;True;48;0,008996725;;;
FIRST;MEDIUM;15;True;32;0,005995274;;;
FIRST;MEDIUM;16;True;25;0,0049963;;;
FIRST;MEDIUM;17;True;24;0,004997253;;;
FIRST;MEDIUM;18;True;48;0,010992527;;;
FIRST;MEDIUM;19;True;138;0,038976192;;;
FIRST;MEDIUM;20;True;205;0,062960863;;708;0,160900831
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
FIRST;MOST CONSTRAINED;4;True;8;0,000999689;;;
FIRST;MOST CONSTRAINED;5;True;5;0;;;
FIRST;MOST CONSTRAINED;6;True;31;0,002997875;;;
FIRST;MOST CONSTRAINED;7;True;9;0;;;
FIRST;MOST CONSTRAINED;8;True;113;0,012992144;;;
FIRST;MOST CONSTRAINED;9;True;41;0,004997492;;;
FIRST;MOST CONSTRAINED;10;True;102;0,014990091;;;
FIRST;MOST CONSTRAINED;11;True;52;0,007999182;;;
FIRST;MOST CONSTRAINED;12;True;261;0,049965143;;;
FIRST;MOST CONSTRAINED;13;True;111;0,022987127;;;
FIRST;MOST CONSTRAINED;14;True;1899;0,450720549;;;
FIRST;MOST CONSTRAINED;15;True;1359;0,359778643;;;
FIRST;MOST CONSTRAINED;16;True;10052;2,944185495;;;
FIRST;MOST CONSTRAINED;17;True;5374;1,704947472;;;
FIRST;MOST CONSTRAINED;18;True;41299;14,76689482;;;
FIRST;MOST CONSTRAINED;19;True;2545;0,971402168;;;
FIRST;MOST CONSTRAINED;20;True;199636;84,35158181;;262897;105,6674397
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
FIRST;LESS CONSTRAINED;4;True;8;0,000999689;;;
FIRST;LESS CONSTRAINED;5;True;5;0;;;
FIRST;LESS CONSTRAINED;6;True;31;0,002996683;;;
FIRST;LESS CONSTRAINED;7;True;9;0,000999212;;;
FIRST;LESS CONSTRAINED;8;True;113;0,011991739;;;
FIRST;LESS CONSTRAINED;9;True;41;0,004997015;;;
FIRST;LESS CONSTRAINED;10;True;102;0,014990568;;;
FIRST;LESS CONSTRAINED;11;True;52;0,008997202;;;
FIRST;LESS CONSTRAINED;12;True;261;0,058960915;;;
FIRST;LESS CONSTRAINED;13;True;111;0,022987127;;;
FIRST;LESS CONSTRAINED;14;True;1899;0,463711977;;;
FIRST;LESS CONSTRAINED;15;True;1359;0,363776445;;;
FIRST;LESS CONSTRAINED;16;True;10052;2,984159708;;;
FIRST;LESS CONSTRAINED;17;True;5374;1,819877386;;;
FIRST;LESS CONSTRAINED;18;True;41299;14,71492672;;;
FIRST;LESS CONSTRAINED;19;True;2545;0,98239398;;;
FIRST;LESS CONSTRAINED;20;True;199635;89,99151158;;262896;111,448278
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MEDIUM;FIRST;4;True;6;0;;;
MEDIUM;FIRST;5;True;5;0,000999451;;;
MEDIUM;FIRST;6;True;29;0,001998663;;;
MEDIUM;FIRST;7;True;14;0,000999689;;;
MEDIUM;FIRST;8;True;15;0,000998735;;;
MEDIUM;FIRST;9;True;57;0,005996227;;;
MEDIUM;FIRST;10;True;61;0,006995916;;;
MEDIUM;FIRST;11;True;195;0,02498436;;;
