;;Size;Success;Count;Time;;;;;;;;;;
;;4;True;8;0,00099659;;;;;;;;;;
;;5;True;5;0;;;;;;;;;Variable;
;;6;True;31;0;;;;;;;NORMAL;MEDIUM;MOST;LESS
;;7;True;9;0,001001358;;;;;;NORMAL;145151;3519;145;134880
;;8;True;113;0,001997471;;;;;;MEDIUM;193;144936;303;167159
;;9;True;41;0,000999928;;;;;;MOST;145152;3519;145;134934
;;10;True;102;0,002997875;;;;;;LESS;145151;3519;145;134880
;;11;True;52;0,001998663;;;;;;;;;;
;;12;True;261;0,008994579;;;;;;;;;;
;;13;True;111;0,004996777;;;;;;;;;;
;;14;True;1899;0,099937439;;;;;;;;;;
;;15;True;1359;0,082949877;;;;;;;;;;
;;16;True;10052;0,593633652;;;;;;;;;;
;;17;True;5374;0,329796553;;;;;;;;;;
;;18;True;41299;2,605392218;;;;;;;;;;
;;19;True;2545;0,175893068;;;50,2769401;;;;;;;
;;20;True;199635;14,76189613;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
NORMAL;NORMAL;4;True;8;0,000999689;;;;;;;;;;
NORMAL;NORMAL;5;True;5;0;;;;;;;;;;
NORMAL;NORMAL;6;True;27;0,002998114;;;;;;;;;;
NORMAL;NORMAL;7;True;8;0,000999689;;;;;;;;;;
NORMAL;NORMAL;8;True;88;0,010992765;;;;;;;;;;
NORMAL;NORMAL;9;True;34;0,004996538;;;;;;;;;;
NORMAL;NORMAL;10;True;83;0,014991283;;;;;;;;;;
NORMAL;NORMAL;11;True;40;0,008994341;;;;;;;;;;
NORMAL;NORMAL;12;True;193;0,044972181;;;;;;;;;;
NORMAL;NORMAL;13;True;88;0,024984598;;;;;;;;;;
NORMAL;NORMAL;14;True;1484;0,444728374;;;;;;;;;;
NORMAL;NORMAL;15;True;1026;0,355778217;;;;;;;;;;
NORMAL;NORMAL;16;True;7560;2,82026124;;;;;;;;;;
NORMAL;NORMAL;17;True;4258;1,819878101;;;;;;;;;;
NORMAL;NORMAL;18;True;30301;13,72453761;;;;;;;;;;
NORMAL;NORMAL;19;True;1905;0,926427364;;;;;;;;;;
NORMAL;NORMAL;20;True;145151;78,59653544;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
NORMAL;MEDIUM;4;True;4;0,000999689;;;;;;;;;;
NORMAL;MEDIUM;5;True;5;0;;;;;;;;;;
NORMAL;MEDIUM;6;True;21;0,001998663;;;;;;;;;;
NORMAL;MEDIUM;7;True;10;0,000999451;;;;;;;;;;
NORMAL;MEDIUM;8;True;10;0,001998663;;;;;;;;;;
NORMAL;MEDIUM;9;True;13;0,001998663;;;;;;;;;;
NORMAL;MEDIUM;10;True;22;0,004997015;;;;;;;;;;
NORMAL;MEDIUM;11;True;16;0,002998114;;;;;;;;;;
NORMAL;MEDIUM;12;True;17;0,004996777;;;;;;;;;;
NORMAL;MEDIUM;13;True;53;0,017990589;;;;;;;;;;
NORMAL;MEDIUM;14;True;48;0,018986702;;;;;;;;;;
