Kolumna1;Kolumna2;Size;Success;Count;Time
BACKTRACKING;;4;True;8;0
BACKTRACKING;;5;True;5;0
BACKTRACKING;;6;True;31;0,000999212
BACKTRACKING;;7;True;9;0
BACKTRACKING;;8;True;113;0,001997948
BACKTRACKING;;9;True;41;0,000999689
BACKTRACKING;;10;True;102;0,002997875
BACKTRACKING;;11;True;52;0,001998425
BACKTRACKING;;12;True;261;0,008995295
BACKTRACKING;;13;True;111;0,004996777
BACKTRACKING;;14;True;1899;0,091944456
BACKTRACKING;;15;True;1359;0,06795764
BACKTRACKING;;16;True;10052;0,521680117
BACKTRACKING;;17;True;5374;0,335790634
BACKTRACKING;;18;True;41299;2,599396706
BACKTRACKING;;19;True;2545;0,169894934
BACKTRACKING;;20;True;199635;14,31017661
NORMAL;NORMAL;4;True;8;0,000999689
NORMAL;NORMAL;5;True;5;0
NORMAL;NORMAL;6;True;27;0,002998352
NORMAL;NORMAL;7;True;8;0,000999212
NORMAL;NORMAL;8;True;88;0,009993076
NORMAL;NORMAL;9;True;34;0,004997015
NORMAL;NORMAL;10;True;83;0,015990496
NORMAL;NORMAL;11;True;40;0,007994652
NORMAL;NORMAL;12;True;193;0,040976048
NORMAL;NORMAL;13;True;88;0,021985769
NORMAL;NORMAL;14;True;1484;0,417741776
NORMAL;NORMAL;15;True;1026;0,328797579
NORMAL;NORMAL;16;True;7560;2,575413465
NORMAL;NORMAL;17;True;4258;1,672968149
NORMAL;NORMAL;18;True;30301;12,51028562
NORMAL;NORMAL;19;True;1905;0,857470274
NORMAL;NORMAL;20;True;145151;80,8901217
NORMAL;MEDIUM;4;True;4;0
NORMAL;MEDIUM;5;True;5;0,000999689
NORMAL;MEDIUM;6;True;21;0,00199914
NORMAL;MEDIUM;7;True;10;0,001997948
NORMAL;MEDIUM;8;True;10;0,001998663
NORMAL;MEDIUM;9;True;13;0,002998352
NORMAL;MEDIUM;10;True;22;0,004996777
NORMAL;MEDIUM;11;True;16;0,004996777
NORMAL;MEDIUM;12;True;17;0,004997015
NORMAL;MEDIUM;13;True;53;0,019987822
NORMAL;MEDIUM;14;True;48;0,021986723
NORMAL;MEDIUM;15;True;32;0,015990496
NORMAL;MEDIUM;16;True;25;0,013990641
NORMAL;MEDIUM;17;True;23;0,013991833
NORMAL;MEDIUM;18;True;44;0,025983334
NORMAL;MEDIUM;19;True;127;0,078952074
NORMAL;MEDIUM;20;True;193;0,127922058
NORMAL;MOST CONSTRAINED;4;True;8;0,000999928
NORMAL;MOST CONSTRAINED;5;True;5;0
NORMAL;MOST CONSTRAINED;6;True;27;0,003997326
NORMAL;MOST CONSTRAINED;7;True;8;0,000999689
NORMAL;MOST CONSTRAINED;8;True;88;0,01398921
NORMAL;MOST CONSTRAINED;9;True;35;0,006995916
NORMAL;MOST CONSTRAINED;10;True;80;0,019987583
NORMAL;MOST CONSTRAINED;11;True;40;0,009993553
NORMAL;MOST CONSTRAINED;12;True;193;0,05796504
NORMAL;MOST CONSTRAINED;13;True;88;0,037976742
NORMAL;MOST CONSTRAINED;14;True;1482;0,633608341
NORMAL;MOST CONSTRAINED;15;True;1025;0,468711376
NORMAL;MOST CONSTRAINED;16;True;7560;3,765677929
NORMAL;MOST CONSTRAINED;17;True;4256;2,390526533
NORMAL;MOST CONSTRAINED;18;True;30278;18,47561002
NORMAL;MOST CONSTRAINED;19;True;1905;1,237235785
NORMAL;MOST CONSTRAINED;20;True;145152;108,6120267
NORMAL;LESS CONSTRAINED;4;True;8;0,000999689
NORMAL;LESS CONSTRAINED;5;True;5;0
NORMAL;LESS CONSTRAINED;6;True;26;0,002997398
NORMAL;LESS CONSTRAINED;7;True;9;0,000998735
NORMAL;LESS CONSTRAINED;8;True;85;0,013991833
NORMAL;LESS CONSTRAINED;9;True;34;0,00699544
NORMAL;LESS CONSTRAINED;10;True;77;0,01798892
NORMAL;LESS CONSTRAINED;11;True;34;0,008993864
NORMAL;LESS CONSTRAINED;12;True;153;0,04497242
NORMAL;LESS CONSTRAINED;13;True;87;0,030981541
NORMAL;LESS CONSTRAINED;14;True;1406;0,554657698
NORMAL;LESS CONSTRAINED;15;True;1015;0,447726488
NORMAL;LESS CONSTRAINED;16;True;8033;3,914583445
NORMAL;LESS CONSTRAINED;17;True;4126;2,272598028
NORMAL;LESS CONSTRAINED;18;True;31223;18,67348742
NORMAL;LESS CONSTRAINED;19;True;1918;1,223245621
NORMAL;LESS CONSTRAINED;20;True;138567;99,94637275
MEDIUM;NORMAL;4;True;5;0
MEDIUM;NORMAL;5;True;5;0,000999451
MEDIUM;NORMAL;6;True;24;0,002997875
MEDIUM;NORMAL;7;True;12;0,001998901
MEDIUM;NORMAL;8;True;13;0,001998901
MEDIUM;NORMAL;9;True;33;0,005993366
MEDIUM;NORMAL;10;True;33;0,00699544
MEDIUM;NORMAL;11;True;99;0,022988796
MEDIUM;NORMAL;12;True;65;0,018985271
MEDIUM;NORMAL;13;True;208;0,069956541
MEDIUM;NORMAL;14;True;445;0,166898012
MEDIUM;NORMAL;15;True;199;0,084949493
MEDIUM;NORMAL;16;True;481;0,231857538
MEDIUM;NORMAL;17;True;406;0,203872204
MEDIUM;NORMAL;18;True;440;0,212868214
MEDIUM;NORMAL;19;True;1115;0,617621422
MEDIUM;NORMAL;20;True;3519;2,088710546
MEDIUM;MEDIUM;4;True;9;0
MEDIUM;MEDIUM;5;True;5;0,000999928
MEDIUM;MEDIUM;6;True;58;0,006994724
MEDIUM;MEDIUM;7;True;9;0,001998663
MEDIUM;MEDIUM;8;True;61;0,008994579
MEDIUM;MEDIUM;9;True;24;0,003997326
MEDIUM;MEDIUM;10;True;93;0,019987345
